2024-07-04 19:13:00.1800 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100580180; nextExpiration=1720100580166; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:01.1940 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100581194; nextExpiration=1720100581180; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:02.2070 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100582207; nextExpiration=1720100582194; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:03.2190 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100583219; nextExpiration=1720100583207; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:04.2300 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100584230; nextExpiration=1720100584219; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:05.2440 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100585244; nextExpiration=1720100585230; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:06.2590 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100586259; nextExpiration=1720100586244; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:07.2720 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100587272; nextExpiration=1720100587259; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:08.2870 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100588287; nextExpiration=1720100588272; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:09.2900 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100589290; nextExpiration=1720100589287; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:10.2920 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100590291; nextExpiration=1720100590290; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:11.3090 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100591309; nextExpiration=1720100591291; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:12.3120 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100592312; nextExpiration=1720100592309; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:13.3280 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100593328; nextExpiration=1720100593312; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:14.3440 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100594344; nextExpiration=1720100594328; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:15.3460 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100595346; nextExpiration=1720100595344; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:16.3610 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100596361; nextExpiration=1720100596346; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:17.3630 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100597363; nextExpiration=1720100597361; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:18.3630 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100598363; nextExpiration=1720100598363; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:18.7080 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
2024-07-04 19:13:18.7080 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
2024-07-04 19:13:19.3650 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100599365; nextExpiration=1720100599363; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:20.3800 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100600380; nextExpiration=1720100600365; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:21.3930 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100601393; nextExpiration=1720100601380; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:22.4030 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100602402; nextExpiration=1720100602393; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:23.4140 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100603414; nextExpiration=1720100603402; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:24.4140 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100604414; nextExpiration=1720100604414; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:25.4260 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100605426; nextExpiration=1720100605414; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:26.4260 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100606426; nextExpiration=1720100606426; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:27.4270 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100607427; nextExpiration=1720100607426; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:28.4380 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100608438; nextExpiration=1720100608427; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:29.4380 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100609438; nextExpiration=1720100609438; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:30.4390 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100610439; nextExpiration=1720100610438; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:31.4500 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100611450; nextExpiration=1720100611439; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:32.4640 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100612464; nextExpiration=1720100612450; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:33.4670 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100613467; nextExpiration=1720100613464; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:34.4810 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100614481; nextExpiration=1720100614467; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:35.4810 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100615481; nextExpiration=1720100615481; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:36.4970 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100616497; nextExpiration=1720100616481; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:37.5130 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100617513; nextExpiration=1720100617497; keyCount=0; hasEvents=false; eval=false
2024-07-04 19:13:38.5280 [http-nio-8080-Poller] DEBUG o.apache.tomcat.util.net.NioEndpoint - timeout completed: keys processed=0; now=1720100618528; nextExpiration=1720100618513; keyCount=0; hasEvents=false; eval=false
